article_number,article_details,book,chapter,section,linked_definitions,linked_articles
139,"
الجزاءات التأديبية التى يجوز توقيعها على العامل وفقًـ ا للـوائح تنظـيم العمـل
والجزاءات فى المنشأة هي :
-١ الإنذار الكتابي .
-٢ الخصم من الأجر الأساسي .
-٣ تأجيل موعد استحقاق العلاوة السنوية لمدة لا تجاوز ثلاثة أشهر .
-٤ الحرمان من جزء من العلاوة السنوية ، بما لا يجاوز نصفها .
-٥ تأجيل الترقية عند استحقاقها لمدة لا تزيد على سنة .
-٦ خفض الأجر الأساسى بمقدار علاوة على الأكثر .
-٧ الخفض إلى وظيفة فى الدرجة الأدنى مباشرة ، دون تخفيض الأجر .
-٨ الفصل من الخدمة وفقًا لأحكام هذا القانون .
",الكتاب الثالث: علاقات العمل,الباب الأول: علاقات العمل الفردية,الفصل السادس: واجبات العمال ومساءلتهم,"{'العامل': 'كل شخص طبيعى يعمل لقاء أجر لدى صاحب عمل تحت إدارته أو إشرافه.', 'الأجر': 'كل ما يحصل عليه العامل لقاء عمله نقداً كان أو عيناً، ويشمل:\nالأجر الأساسى: الأجر المنصوص عليه فى عقد العمل وما يطرأ عليه من علاوات.\nالأجر المتغير: باقى ما يحصل عليه العامل من عناصر الأجر، وعلى الأخص:\n(أ) العمولة أو النسبة المئوية.\n(ب) العلاوات.\n(ج) المنح.\n(د) المكافأة.\n(هـ) البدلات.\n(و) نصيب العامل فى الأرباح.\n(ز) الوهبة.\n(ح) مقابل الخدمة.\n(ط) المزايا العينية.', 'المنشأة': 'كل مشروع أو مرفق يملكه أو يديره شخص من أشخاص القانون الخاص أياً كان نوعها أو تبعيتها.'}",[]
140,"
لا يجوز لصاحب العمل توقيع أكثر من جزاء عـن المخالفـة الواحـدة ، كمـا
لا يجوز له الجمع بين اقتطاع جزء من أجر العامل تطبيقً ا لحكم المادة (١٣٩) من هذا
القانون وبين أ ى جزاء مالي ، إذا زاد ما يجب اقتطاعـه علـى أجـر خمـسة أيـام
فى الشهر الواحد .
",الكتاب الثالث: علاقات العمل,الباب الأول: علاقات العمل الفردية,الفصل السادس: واجبات العمال ومساءلتهم,{'العامل': 'كل شخص طبيعى يعمل لقاء أجر لدى صاحب عمل تحت إدارته أو إشرافه.'},[139]
141,"
لا يجوز توقيع جزاء على العامل إلا بعد إبلاغه كتابة بما نسب إليه وسماع أقوالـه ،
وتحقيق دفاعه وإثبات ذلك ف ى محضر يودع ف ى ملفه الخاص ، على أن يبدأ التح قيـق
خلال سبعة أيام على الأكثر من تاريخ اكتشاف المخالفـة ولا يتجـاوز ثلاثـة أشـهر
من تاريخ بداية التحقيق ويجوز أن تزاد ثلاثة أشهر أخرى إذا تكشف أثنـاء التحقيـق
وقائع أو مستندات جديدة ، وللمنظمة النقابية التى يتبعها العامل أن تندب ممـث لاً عنهـا
لحضور التحقيق .
ويجوز فى المخالفات التى يعاقب عليها بالإنذار ، أو الخصم من الأجر الأساسـ ى
الذى لا يزيد مقداره على أجر يوم واحد ، أن يكون التحقيق شفاهة ، علـى أن يثبـت
مضمونه في القرار الذى يصدر بتوقيع الجزاء .
وفى جميع الحالات ، يشترط أن يكون القرار الصادر بتوقيع الجزاء مسببا .
",الكتاب الثالث: علاقات العمل,الباب الأول: علاقات العمل الفردية,الفصل السادس: واجبات العمال ومساءلتهم,"{'العامل': 'كل شخص طبيعى يعمل لقاء أجر لدى صاحب عمل تحت إدارته أو إشرافه.', 'الأجر': 'كل ما يحصل عليه العامل لقاء عمله نقداً كان أو عيناً، ويشمل:\nالأجر الأساسى: الأجر المنصوص عليه فى عقد العمل وما يطرأ عليه من علاوات.\nالأجر المتغير: باقى ما يحصل عليه العامل من عناصر الأجر، وعلى الأخص:\n(أ) العمولة أو النسبة المئوية.\n(ب) العلاوات.\n(ج) المنح.\n(د) المكافأة.\n(هـ) البدلات.\n(و) نصيب العامل فى الأرباح.\n(ز) الوهبة.\n(ح) مقابل الخدمة.\n(ط) المزايا العينية.'}",[]
142,"
تختص الشئون القانونية بالمنشأة بالتحقيق مع العامل ، وفى حالة عـدم وجودهـا
فلصاحب العمل أن يعهد بالتحقيق فى موضوع المخالفة إلى شخص آخـر مـن ذوى
الخبرة أو أحد العاملين بالمنشأة ، بشرط ألا يقل المستوى الوظيفى للمحقق عن مستوى
العامل الذى يحقق معه .
",الكتاب الثالث: علاقات العمل,الباب الأول: علاقات العمل الفردية,الفصل السادس: واجبات العمال ومساءلتهم,{'العامل': 'كل شخص طبيعى يعمل لقاء أجر لدى صاحب عمل تحت إدارته أو إشرافه.'},[]
143,"
لا يجوز لصاحب العمل أن يوقع جزاء الخصم على العامل عن المخالفة الواحـدة
بما يزيد على خمسة أيام من الأجر الأساسي ، كما لا يجوز أن يقتطع من هذا الأجـر
وفاء للجزاءات التى يوقعها أكثر من أجر خمسة أيام فى الشهر الواحد .
وإذا حدد الخصم بنسبة محددة من الأ جر ، اعتبر أن المقصود بذلك هـو الأجـر
الأساسى اليومى للعامل .
",الكتاب الثالث: علاقات العمل,الباب الأول: علاقات العمل الفردية,الفصل السادس: واجبات العمال ومساءلتهم,"{'العامل': 'كل شخص طبيعى يعمل لقاء أجر لدى صاحب عمل تحت إدارته أو إشرافه.', 'الأجر': 'كل ما يحصل عليه العامل لقاء عمله نقداً كان أو عيناً، ويشمل:\nالأجر الأساسى: الأجر المنصوص عليه فى عقد العمل وما يطرأ عليه من علاوات.\nالأجر المتغير: باقى ما يحصل عليه العامل من عناصر الأجر، وعلى الأخص:\n(أ) العمولة أو النسبة المئوية.\n(ب) العلاوات.\n(ج) المنح.\n(د) المكافأة.\n(هـ) البدلات.\n(و) نصيب العامل فى الأرباح.\n(ز) الوهبة.\n(ح) مقابل الخدمة.\n(ط) المزايا العينية.'}",[]
144,"
يجوز تشديد الجزاء إذا عاد العامل إلى ارتكاب مخالفة جديدة من نـوع المخالفـة
التى سبق مجازاته عليها ، متى وقعت هذه المخالفة خلال سنة من تاريخ إبلاغ العامـل
بتوقيع الجزاء السابق .
",الكتاب الثالث: علاقات العمل,الباب الأول: علاقات العمل الفردية,الفصل السادس: واجبات العمال ومساءلتهم,{'العامل': 'كل شخص طبيعى يعمل لقاء أجر لدى صاحب عمل تحت إدارته أو إشرافه.'},[]
145,"
لصاحب العمل أن يوقف العامل عن عمله مؤقتً ا بموجب قـرار مكتـوب لمـدة
لا تزيد على ستين يوما مع صرف أجره كاملاً ، وذلك فى الحالات الآتية :
-١ إذا أحيل العامل للتحقيق بسبب مخالفة ارتكبها داخل مقر العمل ، واقتـضت
مصلحة التحقيق ذلك .
-٢ إذا أتُهم العامل بارتكاب جناية أو جنحة مخلة بالشرف أو الأمانـة أو الآداب
العامة ، أو أى جنحة أخرى داخل محل العمل .
-٣ إذا طلب صاحب العمل من المحكمـة العماليـة المختـصة فـصل العامـل
من الخدمة .
",الكتاب الثالث: علاقات العمل,الباب الأول: علاقات العمل الفردية,الفصل السادس: واجبات العمال ومساءلتهم,"{'العامل': 'كل شخص طبيعى يعمل لقاء أجر لدى صاحب عمل تحت إدارته أو إشرافه.', 'صاحب العمل': 'كل شخص طبيعى أو اعتبارى يستخدم عاملاً أو أكثر لقاء أجر.'}",[]
146,"
للعامل التظلم من قرار وقفه عن العمل الصادر وفقً ا للبندين (١ ، ٢) من المـادة (١٤٥)
من ه ذا القانون بموجب عريضة تقدم لقاضى الأمور الوقتية بالمحكمة العمالية المختـصة ،
وذلـك خـلال ثلاثـة أيـام مـن تـاريخ إخطـاره ، أو علمـه بـصدور القـرار
المتظلم منه .
وعلى القاضى الفصل فى هذا التظلم فى اليوم التالى لتقديمه على الأكثر ، فـإذا قـضى
بعدم صحة القرار الصادر بالوقف ، قضى بعودته للعمل مرة أخرى .
",الكتاب الثالث: علاقات العمل,الباب الأول: علاقات العمل الفردية,الفصل السادس: واجبات العمال ومساءلتهم,{},[]
147,"
لصاحب العمل أن يطلب من قاضى الأمور الوقتية بالمحكمة العماليـة المختـصة
مد فترة الإيقاف عن العمل لمدة أو لمدد أخرى مع صرف نصف أجر العامـل وذلـك
قبل انتهاء مدة الإيقاف بعشرة أيام .
وعلى قاضى الأمور الوقتية البت فى هذ ا الطلب قبل انتهاء فترة الإيقاف ، فإذا لم
يصدر قراره خلال هذه المدة ولم يعد العامل إلى عمله ، يستمر إيقـاف العامـل مـع
صرف الأجر كام لاً لحين البت فى الطلب فإذا قضى برفض الطلب يعاد لعملـه فـور
انتهاء مدة إيقافه الأخيرة .
فإذا كان الوقف لأحد الأسباب الواردة بالب ند (٢) مـن المـادة (١٤٥) مـن هـذا
القانون ، ورأت السلطة المختصة بالاتهام حفظ التحقيق ، أو إصدار أمر بأن لا وجـه
لإقامة الدعوى الجنائية ، أو قدم العامل للمحاكمة الجنائية وقـضى ببراءتـه ، وجبـت
إعادته إلى عمله مع صرف ما لم يصرف له من مستحقات عن فتـرة الإيقـاف ، وإلا
اعتبر عدم إعادته للعمل فصلاً تعسفيا .
",الكتاب الثالث: علاقات العمل,الباب الأول: علاقات العمل الفردية,الفصل السادس: واجبات العمال ومساءلتهم,"{'العامل': 'كل شخص طبيعى يعمل لقاء أجر لدى صاحب عمل تحت إدارته أو إشرافه.', 'الأجر': 'كل ما يحصل عليه العامل لقاء عمله نقداً كان أو عيناً، ويشمل:\nالأجر الأساسى: الأجر المنصوص عليه فى عقد العمل وما يطرأ عليه من علاوات.\nالأجر المتغير: باقى ما يحصل عليه العامل من عناصر الأجر، وعلى الأخص:\n(أ) العمولة أو النسبة المئوية.\n(ب) العلاوات.\n(ج) المنح.\n(د) المكافأة.\n(هـ) البدلات.\n(و) نصيب العامل فى الأرباح.\n(ز) الوهبة.\n(ح) مقابل الخدمة.\n(ط) المزايا العينية.'}",[]
148,"
يكون الاختصاص بتوقيع جزاء الفصل من العمل للمحكمة العماليـة المختـصة ،
ويكون توقيع باقى الجزاءات التأديبية لـصاحب العمـل ، أو مـن يفوضـه لـذلك ،
ويكون لمدير المنشأة توقيع جزائى الإنذار الكتابى ، والخصم من الأجر لمدة لا تجاوز
ثلاثة أيام .
وفى جميع الأحوال ، لا يجوز فصل العامـل إلا إذا ارتكـب خطـأ جـسيم ا ،
ويعتبر من قبيل الخطأ الجسيم الحالات الآتية :
-١ إذا ثبت انتحال العامل شخصية غير صحيحة أو قدم مستندات مزورة .
-٢ إذا ثبت ارتكاب العامل لخطأ نشأت عنه أضرار جسيمة لـصاحب العمـ ل ،
بشرط أن يبلغ صاحب العمل الجهات المختصة بالواقعة ، أو الحـادث خـلال أربـع
وعشرين ساعة من وقت علمه بوقوعه .
-٣ إذا ثبت تكرار عدم مراعاة العامل التعليمات اللازم اتباعها لسلامة العمـال ،
أو المنشأة ، بشرط أن تكون هذه التعليمات مكتوبة ، ومعلنـة فـى مكـان ظـاهر ،
رغم التنبيه عليه كتابة بمراعاة ذلك .
-٤ إذا ثبت أن العامل أفشى أسرار المنشأة التى يعمل بهـا ، وأدى ذلـك إلـى
إحداث أضرار جسيمة بالمنشأة .
-٥ إذا ثبت قيام العامل بمنافسة صاحب العمل فى ذات نشاطه .
-٦ إذا ثبت وجود العامل فى حالة سكر بين أو متأثر ا بما تعاطاه من م ادة مخدرة
أثناء ساعات العمل .
-٧ إذا ثبت اعتداء العامل على صاحب العمل ، أو المدير العام ، وكذلك إذا وقع
منه اعتداء جسيم على أحد رؤسائه أثناء العمل ، أو بسببه .
وفى جميع الأحوال ، لا يجوز الفصل من الخدمة إلا وفقًا لأحكام هذا القانون .
",الكتاب الثالث: علاقات العمل,الباب الأول: علاقات العمل الفردية,الفصل السادس: واجبات العمال ومساءلتهم,"{'العامل': 'كل شخص طبيعى يعمل لقاء أجر لدى صاحب عمل تحت إدارته أو إشرافه.', 'صاحب العمل': 'كل شخص طبيعى أو اعتبارى يستخدم عاملاً أو أكثر لقاء أجر.', 'الأجر': 'كل ما يحصل عليه العامل لقاء عمله نقداً كان أو عيناً، ويشمل:\nالأجر الأساسى: الأجر المنصوص عليه فى عقد العمل وما يطرأ عليه من علاوات.\nالأجر المتغير: باقى ما يحصل عليه العامل من عناصر الأجر، وعلى الأخص:\n(أ) العمولة أو النسبة المئوية.\n(ب) العلاوات.\n(ج) المنح.\n(د) المكافأة.\n(هـ) البدلات.\n(و) نصيب العامل فى الأرباح.\n(ز) الوهبة.\n(ح) مقابل الخدمة.\n(ط) المزايا العينية.', 'المنشأة': 'كل مشروع أو مرفق يملكه أو يديره شخص من أشخاص القانون الخاص أياً كان نوعها أو تبعيتها.'}",[]
149,"
مع عدم الإ خلال بحق التقاضي ، إذا نشأ نزاع فردى بين صاحب العمل والعامـل
بشأن تطبيق أحكام هذا القانون ، أو أى من القوانين ذات الصلة كان لأى منهما خـلال
عشرة أيام من تاريخ نشوء النزاع أن يطلب تسويته ودي ا بمعرفة لجنـة تـشكل علـى
النحو الآتي :
-۱ مدير مديرية العمل ، أو من ينيبه (رئيسا) .
-٢ العامل ، أو من يمثله (عضوا) .
-٣ صاحب العمل ، أو من يمثله (عضوا) .
ولرئيس اللجنة أن يستعين بذوى الخبرة حسب الموضوع المعروض .
ويجب أن تنتهى اللجنة من أعمالها خلال واحد وعشرين يوم ا من تـاريخ تقـديم
الطلب ، فإذا تمت التسوية الودية ، يثبت ر ئيس اللجنة ذلك فى محضر يوقعـه طر فـ ا
النزاع ، ويلحق بمحضر الجلسة التى تم فيها ، ويحال إلى قاضـ ى الأمـور الوقتيـة
بالمحكمة العمالية المختصة ، ويكون قاب لاً للتنفيذ بالأمر الذى يصدره وينتهى به النزاع
فى حدود ما تمت التسوية الودية فيه .
ويصدر الوزير المختص قرار ا بنظام عمل اللجنة والنمـاذج والـسجلات التـ ى
تستعين بها .
",الكتاب الثالث: علاقات العمل,الباب الأول: علاقات العمل الفردية,الفصل السادس: واجبات العمال ومساءلتهم,"{'العامل': 'كل شخص طبيعى يعمل لقاء أجر لدى صاحب عمل تحت إدارته أو إشرافه.', 'صاحب العمل': 'كل شخص طبيعى أو اعتبارى يستخدم عاملاً أو أكثر لقاء أجر.', 'الوزير المختص': 'الوزير المعنى بشئون العمل.'}",[]
150,"
إذا لم تتم تسوية النزاع ودي ا يحرر رئيس اللجنة محضر ا بما تم ، ويوقع منه ومن
طرفى النزاع ، ويثبت ما تم من أعمال وما تلقته اللجنة مـن مـستندات ورأيهـا فـ ى
موضوع النزاع ، ويحال إلى المحكمة العمالية المختصة بناء على طلب أى من طرفيه ،
ويحدد قلم كتاب المحكمة جلسة لنظر النزاع فى مدة لا تجاوز عشرين يوم ا من تـاريخ
ورود الطلب ، وعليه إعلان طرفى النزاع بها .
فإذا كان موضوع النزاع يتعلق بفصل العامل ، وجب على المحكمـة أن تفـصل
فى هذا الطلب بصفة مستعجلة خلال ث لاثة أشهر من تـاريخ أول جلـسة ، فـإذا رأت
من ظاهر الأوراق صحة طلب ا لعامل ، ألزمت صاحب العمل أن يؤدى إلـى العامـل
ما يعادل أجره من تاريخ الفصل ، وبحد أقصى ستة أشهر ، ويكون قرارها نهائيا .
وتخصم المبالغ الت ى استوفاها العامل نفاذً ا لقرار المحكمة مـن مبلـغ التعـويض
الذى يحكم به أو أى مبالغ أخرى مستحقة له قبل صاحب العمل ، مع مراعـاة نـص
المادة (١٤٣) من هذا القانون .
فإذا كان فصل العامل بسبب النشاط النقابي ، قضت المحكمة بإعادته إلـى عملـه
إذا طلب ذلك .
",الكتاب الثالث: علاقات العمل,الباب الأول: علاقات العمل الفردية,الفصل السادس: واجبات العمال ومساءلتهم,"{'العامل': 'كل شخص طبيعى يعمل لقاء أجر لدى صاحب عمل تحت إدارته أو إشرافه.', 'صاحب العمل': 'كل شخص طبيعى أو اعتبارى يستخدم عاملاً أو أكثر لقاء أجر.'}",[143]
151,"
إذا تسبب العامل بخطئه ، أو بمناسبة عمله فى فقد ، أو إتلاف مهم ات ، أو آلات
أو خامات ، أو منتجات أو غيرها ، يملكها صاحب العمل ، أو كانت فى عهدته التـزم
بأداء قيمة ما فقد ، أو أتلف .
ولصاحب العمل بعد إجراء التحقيق وإخطار العامـل أن يبـدأ باقتطـاع المبلـغ
المشار إليه من أجره ، على ألا يزيد ما يقتطع لهذا الغرض على أجـر خمـسة أيـ ام
فى الشهر الواحد .
ويجوز للعامل أن يتظلم أمام المحكمة العمالية المختصة من تقدير صاحب العمـل
وفقًا للمدد والإجراءات المحددة فى هذا القانون .
فإذا لم يقض لصاحب العمل بالمبلغ الذى قدره ، للإتلاف أو قضى له بأقل منـه ،
وجب عليه رد ما اقتطع دون وجه حق خلال سبعة أيام من تاريخ صدور الحكم .
ولا يجوز لصاحب العمل أن يستوفى مستحقاته بطريق الاقتطاع وفقً ا لحكم هـذه
المادة ، فيما زاد على أجر شهرين .
",الكتاب الثالث: علاقات العمل,الباب الأول: علاقات العمل الفردية,الفصل السادس: واجبات العمال ومساءلتهم,"{'العامل': 'كل شخص طبيعى يعمل لقاء أجر لدى صاحب عمل تحت إدارته أو إشرافه.', 'صاحب العمل': 'كل شخص طبيعى أو اعتبارى يستخدم عاملاً أو أكثر لقاء أجر.'}",[]
152,"
لا تخل الأحكام الواردة بهذا الفصل بالضمانات المقررة بقانون المنظمات النقابيـة
العمالية وحماية حـق التنظـيم النقـابى ا لمـشار إليـه ، لأعـضاء مجـالس إدارات
المنظمات النقابية .
",الكتاب الثالث: علاقات العمل,الباب الأول: علاقات العمل الفردية,الفصل السادس: واجبات العمال ومساءلتهم,{},[]
153,"
يجب على صاحب العمل أن يمسك سج لاً ورقي ا أو إلكترونيـ ا لقيـد الجـزاءات
المالية الموقعة على العمال ، مع بيان سبب توقيعها واسـم العامـل ومقـدار أجـره ،
وأن يفرد لحصيلتها حساب ا خاصا للـصرف علـى عمـال المنـشأة فـى الأغـراض
الاجتماعية والثقافية والرياضية ، ولا يجوز صرف هذه المبـالغ للوفـاء بالالتزامـات
المنصوص عليها ف ى المادة (٢٧٢) من هذا القانون وتوزع حصيلة تلك الأموال عنـد
تصفية المنشأة بالتساوى على العمال الموجودين بها وقت التصفية .

",الكتاب الثالث: علاقات العمل,الباب الأول: علاقات العمل الفردية,الفصل السابع: انتهاء علاقة العمل الفردية,"{'صاحب العمل': 'كل شخص طبيعى أو اعتبارى يستخدم عاملاً أو أكثر لقاء أجر.', 'المنشأة': 'كل مشروع أو مرفق يملكه أو يديره شخص من أشخاص القانون الخاص أياً كان نوعها أو تبعيتها.'}",[272]
154,"
مع عدم الإخلال بما نصت عليه المواد (۸۷ ، ۸۸ ، ٩٥) مـن هـذا القـانون ،
ينتهى عقد العمل محدد المدة بانقضاء مدته .
فإذا أبرم العقد أو جدد لمدة تزيد على خمس سنوات ، جاز للعامـل إنهـاؤه دون
تعويض عند انقضاء خمس سنوات ، وذلك بعد إخطار صاحب العمـل قبـل الإنهـاء
بثلاثة أشهر .
وتسرى أحكام الفقرة الثانية من هذه المادة على حالات إنهاء العامل للعقـد بعـد
انقضاء المدة المذكورة .
فإذا كان الإنهاء من جانب صاحب العمل استحق العامل مكافأة تعادل أجر شـهر
عن كل سنة من سنوات الخدمة .
",الكتاب الثالث: علاقات العمل,الباب الأول: علاقات العمل الفردية,الفصل السابع: انتهاء علاقة العمل الفردية,"{'العامل': 'كل شخص طبيعى يعمل لقاء أجر لدى صاحب عمل تحت إدارته أو إشرافه.', 'صاحب العمل': 'كل شخص طبيعى أو اعتبارى يستخدم عاملاً أو أكثر لقاء أجر.'}","[87, 88, 95]"
155,"
إذا أبرم عقد العمل لإنجاز عمل مع ين ، انتهى العقد بإنجاز هذا العمل ، ويجـوز
تجديده باتفاق صريح بين طرفيه ، وذلك لعمل أو أعمال أخرى مماثلة .
فإذا انتهى العقد المبرم لإنجاز عمل معين واستمر طرفاه فى تنفيذه ، اعتبر ذلـك
تجديدا منهما لهذا العقد ، أو أعمال أخرى مماثلة .
فإذا استغرق إنجاز العمل ا لأصلي ، أو الأعمال التى جدد لها لأكثر مـن خمـس
سنوات ، لا يجوز للعامل إنهاء العقد قبل تمام إنجاز هذه الأعمال .
",الكتاب الثالث: علاقات العمل,الباب الأول: علاقات العمل الفردية,الفصل السابع: انتهاء علاقة العمل الفردية,{},[]
156,"
مع عدم الإخلال بأحكام المادة (١٦٥) من هذا القانون إذا كان عقد العمـل غيـر
محدد المدة ، جاز لأى من طرفيه إنهاؤه بشرط أن يخطر الطرف الآخر كت ابـة قبـل
الإنهاء بثلاثة أشهر .
",الكتاب الثالث: علاقات العمل,الباب الأول: علاقات العمل الفردية,الفصل السابع: انتهاء علاقة العمل الفردية,{},[165]
157,"
مع عدم الإخلال بحكم المادة (٢٣٥) من هذا القانون ، ومع مراعاة أحكام المـواد
من (١٥٨ إلى ١٧٥) من هذا القانون ، لا يجوز لأصحاب الأعمال والعمال إنهاء عقد
العمل غير محدد المدة ، إلا بمبرر مشروع وكاف .
ويراعى فى جميع الأحوال ، أن يتم الإنهاء فى وقت مناسب لظروف العمل .
",الكتاب الثالث: علاقات العمل,الباب الأول: علاقات العمل الفردية,الفصل السابع: انتهاء علاقة العمل الفردية,{},[235]
158,"
لا يجوز تعليق الإخطار بالإنهاء على شرط واقف ، أو فاسخ .
ويبدأ سريان مهلة الإخطار من تاريخ تسلمه .
",الكتاب الثالث: علاقات العمل,الباب الأول: علاقات العمل الفردية,الفصل السابع: انتهاء علاقة العمل الفردية,{},[]
159,"
لا يجوز توجيه الإخطار للعامل خلال إجازاته ، ولا تحتـسب مهلـة الإخطـار
إلا من اليوم التالى لانتهاء الإجازة ، وإذا حصل العامل على إجـازة مرضـية خـلال
مهلة الإخطار يوقف سريان هذه المهلة ولا يبدأ سريانها من جديد إلا من اليوم التـالى
لانتهاء تلك الإجازة .
",الكتاب الثالث: علاقات العمل,الباب الأول: علاقات العمل الفردية,الفصل السابع: انتهاء علاقة العمل الفردية,{'العامل': 'كل شخص طبيعى يعمل لقاء أجر لدى صاحب عمل تحت إدارته أو إشرافه.'},[]
160,"
يظل عقد العمل قائم ا طوال مهلة الإخطار ، ويلتزم طرفاه بتنفيذ جميع الالتزامات
الناشئة عنه وينتهى العقد بانقضاء هذه المهلة .
",الكتاب الثالث: علاقات العمل,الباب الأول: علاقات العمل الفردية,الفصل السابع: انتهاء علاقة العمل الفردية,{},[]
161,"
لا يجوز الاتفاق على الإعفاء من شرط الإخطار أو تخفـيض مدتـه ، ويجـوز
الاتفاق على زيادة هذه المدة .
ويجوز لصاحب العمل إعفاء العامل من مراعاة مهلة الإخطار كلها ، أو بعـضها
فى حالة إنهاء العقد من جانب العامل .
",الكتاب الثالث: علاقات العمل,الباب الأول: علاقات العمل الفردية,الفصل السابع: انتهاء علاقة العمل الفردية,{'العامل': 'كل شخص طبيعى يعمل لقاء أجر لدى صاحب عمل تحت إدارته أو إشرافه.'},[]
162,"
إذا كان الإخطار بالإنهاء من جانب صاحب العمل ، يحق للعامل أن يتغيب يومـ ا
كاملاً ف ى الأسبوع أو ثمان ى ساعات أثناء الأسبوع ، وذلك للبحث عن عمل آخـر مـع
استحقاقه لأجره عن يوم أو ساعات الغياب .
ويكون للعامل تحديد يوم الغياب ، أو ساعاته ، بشرط أن يخطر صاحب العمـل
بذلك فى اليوم السابق للغياب على الأقل .
",الكتاب الثالث: علاقات العمل,الباب الأول: علاقات العمل الفردية,الفصل السابع: انتهاء علاقة العمل الفردية,{'صاحب العمل': 'كل شخص طبيعى أو اعتبارى يستخدم عاملاً أو أكثر لقاء أجر.'},[]
163,"
لصاحب العمل أن يعفى العامل من العمل أثناء مهلة الإخطار ، مع احتساب مـدة
خدمة العامل مستمرة إلى حين انتهاء تلك المهلة ، مع ما يترتب على ذلك من آثـار ،
وبخاصة استحقاق العامل أجره عن هذه المهلة .
",الكتاب الثالث: علاقات العمل,الباب الأول: علاقات العمل الفردية,الفصل السابع: انتهاء علاقة العمل الفردية,{'العامل': 'كل شخص طبيعى يعمل لقاء أجر لدى صاحب عمل تحت إدارته أو إشرافه.'},[]
164,"
إذا أنهى صاحب العمل عقد العمل غير محدد المدة دون إخطار أو قبل انقـضاء
مهلة الإخطار ، يلتزم بأن يؤدى للعامل مبلغً ا يعادل أجره عن مدة المهلة ، أو الجـزء
الباقى منها .
وفى هـذه الحالـة تحـسب مـدة المهلـة ، أو الجـزء البـاقى منهـا ضـمن
مدة خدمة العامل ، ويستمر صاحب العمل فى تحمل الأعباء ، والالتزامـات المترتبـة
على ذلك ، أما إذا كان الإنهاء صادر ا من جانب العامل فإن العقد ينتهـى مـن وقـت
تركه العمل .
",الكتاب الثالث: علاقات العمل,الباب الأول: علاقات العمل الفردية,الفصل السابع: انتهاء علاقة العمل الفردية,"{'العامل': 'كل شخص طبيعى يعمل لقاء أجر لدى صاحب عمل تحت إدارته أو إشرافه.', 'صاحب العمل': 'كل شخص طبيعى أو اعتبارى يستخدم عاملاً أو أكثر لقاء أجر.'}",[]
165,"
إذا أنهى صاحب العمل العقد غير محدد المدة لسبب غير مشروع ، كان للعامـل
الحق ف ى تعويض عما أصابه من ضرر بسبب هذا الإنهاء بما لا يقل عن أجر شهرين
عن كل سنة من سنوات الخدمة ، ولا يخل ذلك بحق العامل فى المطالبة بباقى حقوقـه
المقررة قانونًا .
ويعتبر من الأسباب غير المشروعة ما يأتي :
-١ انتساب العامل إلى منظمة نقابية ، أو مشاركته فى نشاط نقـابى فـى نطـاق
هذا القانون .
-٢ ممار سة صـفة المفـوض العمـالي ، أو سـبق ممارسـة هـذه الـصفة ،
أو السعى إلى ذلك .
-٣ تقديم شكوى ، أو إقامة دعوى ضد صاحب العمل ، أو المشاركة فى ذلـك ،
تظلما من إخلاله بالقوانين ، أو اللوائح ، أو عقود العمل .
-٤ توقيع الحجز على مستحقات العامل تحت يد صاحب العمل .
-٥ استخدام العامل لحقه فى الإجازات الممنوحة له طبقًا لأحكام هذا القانون .
-٦ اللون ، أو الجـنس ، أو الحالـة الاجتماعيـة ، أو المـسئوليات العائليـة ،
أو الحمل أو الدين أو الرأى السياسي .
",الكتاب الثالث: علاقات العمل,الباب الأول: علاقات العمل الفردية,الفصل السابع: انتهاء علاقة العمل الفردية,"{'العامل': 'كل شخص طبيعى يعمل لقاء أجر لدى صاحب عمل تحت إدارته أو إشرافه.', 'صاحب العمل': 'كل شخص طبيعى أو اعتبارى يستخدم عاملاً أو أكثر لقاء أجر.'}",[]
166,"
يعتبر العامل مستقيلاً من العمل إذا تغيب بدون مبرر مشروع أكثر من عـشري ن
يوما متقطعة خلال السنة الواحدة ، أو أكثر من عشرة أيام متتالية ، على أن يسبق ذلك
إنذار بخطاب موصى عليه بعلم الوصول من صاحب العمل ، أو من يمثلـه ، للعامـل
بعد غيابه عشرة أيام فى الحالة الأولى ، وخمسة أيام فى الحالة الثانية .
",الكتاب الثالث: علاقات العمل,الباب الأول: علاقات العمل الفردية,الفصل السابع: انتهاء علاقة العمل الفردية,"{'العامل': 'كل شخص طبيعى يعمل لقاء أجر لدى صاحب عمل تحت إدارته أو إشرافه.', 'صاحب العمل': 'كل شخص طبيعى أو اعتبارى يستخدم عاملاً أو أكثر لقاء أجر.'}",[]
